filename,head,lemma,raw_relation,raw_score,new_relation,new_score,difference
Kochari_merged.csv,ingrédient,sauce,r_associated,28.0,r_holo,28.0,0.0
Coppia ferrarese_merged.csv,doré,couleur,r_associated,52.0,r_isa,51.0,-1.0
Qatayef_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Empanada_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Gaufre aux fruits_merged.csv,écraser,fruit,r_agent,30.0,r_instr,30.0,0.0
Fromage de Pochekhonié_merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Schneeball _patisserie__merged.csv,gâteau,biscuit,r_associated,496.0,r_isa,494.0,-2.0
Tarte Tatin_merged.csv,arrivée,fin,r_associated,90.0,r_holo,90.0,0.0
Viennoiserie danoise_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Haupia_merged.csv,récipient,plat,r_associated,38.0,r_hypo,38.0,0.0
Apothermum_merged.csv,amande,pignon,r_associated,29.0,r_hypo,28.0,-1.0
Sovietsky _fromage__merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Palačinka_merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Tiramisu_merged.csv,cacao,poudre,r_associated,104.0,r_hypo,101.0,-3.0
Tiramisu_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Cassata_merged.csv,gâteau,biscuit,r_associated,496.0,r_isa,494.0,-2.0
Pan bagnat_merged.csv,salade,vert,r_associated,30.0,r_carac,30.0,0.0
Mazamorra_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Pan di ramerino_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Briam_merged.csv,oignon,légume,r_associated,145.0,r_isa,142.0,-3.0
Succès _pâtisserie__merged.csv,pâtisserie,succès,r_lieu-1,27.0,r_hypo,26.0,-1.0
Croûte au fromage_merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Tian provençal_merged.csv,racine,mot,r_associated,32.0,r_holo,32.0,0.0
Darjeeling _thé__merged.csv,label,bio,r_associated,35.0,r_holo,34.0,-1.0
Kaiseki_merged.csv,repas,banquet,r_syn,162.0,r_hypo,161.0,-1.0
Salmiakki_merged.csv,sel,chlorure,r_associated,28.0,r_hypo,27.0,-1.0
Croustade_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Oka _fromage__merged.csv,couleur,crème,r_associated,63.0,r_hypo,63.0,0.0
Oka _fromage__merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Laklouka_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Biko_merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
Nicolas Stohrer_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Pionono_merged.csv,banane,mûr,r_associated,21.0,r_carac,21.0,0.0
Adana kebab_merged.csv,oignon,blanc,r_associated,29.0,r_carac,29.0,0.0
Boufedjoukh_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Ay çöreği_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Marka bel assel_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Pan co_ santi_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Pan co_ santi_merged.csv,amande,pignon,r_associated,29.0,r_hypo,28.0,-1.0
Viticulture en Ouzbékistan_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Salade aux œufs_merged.csv,salade,vert,r_associated,30.0,r_carac,30.0,0.0
Pâte de crevettes_merged.csv,ingrédient,sauce,r_associated,28.0,r_holo,28.0,0.0
Barquillo_merged.csv,tube,long,r_associated,26.0,r_carac,26.0,0.0
Piccalilli_merged.csv,oignon,légume,r_associated,145.0,r_isa,142.0,-3.0
Taco_merged.csv,ingrédient,sauce,r_associated,28.0,r_holo,28.0,0.0
Compote_merged.csv,écraser,fruit,r_agent,30.0,r_instr,30.0,0.0
Cake _gâteau__merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Soupe champenoise_merged.csv,fraise,sirop,r_associated,121.0,r_isa,117.0,-4.0
