id,prefixe,type_entite1,infixe,type_entite2,suffixe,expression_complete
3937,,NOUN,de,NOUN,afin de," [NOUN] de [NOUN] afin de"
3938,,NOUN,de,NOUN,soja sucrer," [NOUN] de [NOUN] soja sucrer"
3939,de,NOUN,kecap,NOUN,,"de [NOUN] kecap [NOUN] "
3940,,NOUN,de,NOUN,en garniture," [NOUN] de [NOUN] en garniture"
3941,multiple,NOUN,dikan bakar,NOUN,,"multiple [NOUN] dikan bakar [NOUN] "
3942,nombreux,NOUN,et espèce de,NOUN,existant,nombreux [NOUN] et espèce de [NOUN] existant
3943,,NOUN,typique de le,NOUN,de Thuin en," [NOUN] typique de le [NOUN] de Thuin en"
3944,,NOUN,de,PROPN,en Wallonie," [NOUN] de [PROPN] en Wallonie"
3945,constituer de deux,ADJ,,NOUN,enrober de chocolat,constituer de deux [ADJ]  [NOUN] enrober de chocolat
3946,de deux petit,NOUN,enrober de,NOUN,,"de deux petit [NOUN] enrober de [NOUN] "
3947,,NOUN,,NOUN,de Thuin," [NOUN]  [NOUN] de Thuin"
3948,biscuit sucrer à,NOUN,de,NOUN,de œuf,biscuit sucrer à [NOUN] de [NOUN] de œuf
3949,riche,NOUN,au,NOUN,au café,riche [NOUN] au [NOUN] au café
3950,au beurre au,NOUN,et enrober de,NOUN,noir sur,au beurre au [NOUN] et enrober de [NOUN] noir sur
3951,bourguignon lors de,NOUN,de le,NOUN,en 1466 par,bourguignon lors de [NOUN] de le [NOUN] en 1466 par
3952,cassonade au,NOUN,de,NOUN,de canne,cassonade au [NOUN] de [NOUN] de canne
3953,au lieu de,NOUN,de,NOUN,,"au lieu de [NOUN] de [NOUN] "
3954,de,NOUN,,ADJ,comme de basilic,de [NOUN]  [ADJ] comme de basilic
3955,de,NOUN,aromatique comme de,NOUN,,"de [NOUN] aromatique comme de [NOUN] "
3956,,NOUN,de,NOUN,italien panino," [NOUN] de [NOUN] italien panino"
3957,origine de,NOUN,,ADJ,panino,origine de [NOUN]  [ADJ] panino
3958,origine,ADJ,,NOUN,,"origine [ADJ]  [NOUN] "
3959,être,ADJ,,NOUN,farci,être [ADJ]  [NOUN] farci
3960,,NOUN,pluriel de le,NOUN,," [NOUN] pluriel de le [NOUN] "
3961,,NOUN,algérien,PROPN,," [NOUN] algérien [PROPN] "
3962,fermenter de,NOUN,originaire de,PROPN,,"fermenter de [NOUN] originaire de [PROPN] "
3963,signifier,NOUN,,ADJ,,"signifier [NOUN]  [ADJ] "
3964,,NOUN,antiallergique,ADJ,," [NOUN] antiallergique [ADJ] "
3965,utiliser lors de,NOUN,kanbutsue le,NOUN,,"utiliser lors de [NOUN] kanbutsue le [NOUN] "
3966,ingrédient comprendre de,NOUN,,ADJ,,"ingrédient comprendre de [NOUN]  [ADJ] "
3967,cuisine au,NOUN,,ADJ,,"cuisine au [NOUN]  [ADJ] "
3968,,NOUN,au,PROPN,dans," [NOUN] au [PROPN] dans"
3969,,NOUN,,NOUN,enrober de chocolat," [NOUN]  [NOUN] enrober de chocolat"
3970,crème,NOUN,enrober de,NOUN,,"crème [NOUN] enrober de [NOUN] "
3971,variante au,NOUN,belge,ADJ,,"variante au [NOUN] belge [ADJ] "
3972,variante au,NOUN,belge originel,NOUN,,"variante au [NOUN] belge originel [NOUN] "
3973,autre,NOUN,,NOUN,,"autre [NOUN]  [NOUN] "
3974,,NOUN,meringuer au,NOUN,," [NOUN] meringuer au [NOUN] "
3975,quelque peu de,ADJ,,ADJ,,"quelque peu de [ADJ]  [ADJ] "
3976,,NOUN,au,NOUN,au chocolat," [NOUN] au [NOUN] au chocolat"
3977,crème au,NOUN,au,NOUN,,"crème au [NOUN] au [NOUN] "
3978,entièrement recouvrir de,NOUN,de,NOUN,,"entièrement recouvrir de [NOUN] de [NOUN] "
3979,à festivité de,ADJ,,NOUN,chinois en Malaisie,à festivité de [ADJ]  [NOUN] chinois en Malaisie
3980,,NOUN,de le,NOUN,de Guangzhou," [NOUN] de le [NOUN] de Guangzhou"
3981,septième,NOUN,de nouveau,NOUN,chinois,septième [NOUN] de nouveau [NOUN] chinois
3982,septième jour de,ADJ,,NOUN,chinois,septième jour de [ADJ]  [NOUN] chinois
3983,,NOUN,,ADJ,de yusheng," [NOUN]  [ADJ] de yusheng"
3984,,NOUN,de,PROPN,de sud dans," [NOUN] de [PROPN] de sud dans"
3985,,ADJ,,NOUN,chinois," [ADJ]  [NOUN] chinois"
3986,,NOUN,vivre à,PROPN,," [NOUN] vivre à [PROPN] "
3987,,ADJ,,NOUN,peupler de chinois," [ADJ]  [NOUN] peupler de chinois"
3988,autre,NOUN,peupler de,NOUN,tel,autre [NOUN] peupler de [NOUN] tel
3989,avoir être déclarer,NOUN,,ADJ,malaisien par,avoir être déclarer [NOUN]  [ADJ] malaisien par
3990,,NOUN,malaisien de,NOUN,national," [NOUN] malaisien de [NOUN] national"
3991,créer par quatre,ADJ,,NOUN,en 1964 dans,créer par quatre [ADJ]  [NOUN] en 1964 dans
3992,,NOUN,de un,NOUN,de Singapour," [NOUN] de un [NOUN] de Singapour"
3993,carte de,ADJ,,NOUN,lunaire de 1964,carte de [ADJ]  [NOUN] lunaire de 1964
3994,servir avec de,NOUN,,ADJ,,"servir avec de [NOUN]  [ADJ] "
3995,septième,NOUN,de le,NOUN,chinois,septième [NOUN] de le [NOUN] chinois
3996,,NOUN,de le nouveau,NOUN,chinois," [NOUN] de le nouveau [NOUN] chinois"
3997,de,ADJ,au quinzième,NOUN,de premier mois,de [ADJ] au quinzième [NOUN] de premier mois
3998,de premier au,ADJ,,NOUN,de premier mois,de premier au [ADJ]  [NOUN] de premier mois
3999,premier au quinzième,NOUN,de premier,NOUN,lunaire,premier au quinzième [NOUN] de premier [NOUN] lunaire
4000,quinzième jour de,ADJ,,NOUN,lunaire,quinzième jour de [ADJ]  [NOUN] lunaire
4001,,NOUN,de,NOUN,de bon fortune," [NOUN] de [NOUN] de bon fortune"
4002,au tour de,NOUN,,ADJ,,"au tour de [NOUN]  [ADJ] "
4003,on ajouter de,NOUN,,ADJ,émincer,on ajouter de [NOUN]  [ADJ] émincer
4004,,NOUN,avec le,NOUN,de yusheng," [NOUN] avec le [NOUN] de yusheng"
4005,,NOUN,birman de,NOUN,," [NOUN] birman de [NOUN] "
4006,traditionnellement servir au,ADJ,,NOUN,,"traditionnellement servir au [ADJ]  [NOUN] "
4007,de pâte de,NOUN,et moins de,NOUN,,"de pâte de [NOUN] et moins de [NOUN] "
4008,,NOUN,,ADJ,y," [NOUN]  [ADJ] y"
4009,,NOUN,,NOUN,de pois chiche," [NOUN]  [NOUN] de pois chiche"
4010,,NOUN,,ADJ,cassé," [NOUN]  [ADJ] cassé"
4011,,NOUN,chiche,ADJ,," [NOUN] chiche [ADJ] "
4012,,NOUN,de le,NOUN,dans," [NOUN] de le [NOUN] dans"
4013,,NOUN,dans de nombreux,NOUN,," [NOUN] dans de nombreux [NOUN] "
4014,servir lors de,NOUN,,ADJ,,"servir lors de [NOUN]  [ADJ] "
4015,de performance de,ADJ,,NOUN,,"de performance de [ADJ]  [NOUN] "
4016,à,NOUN,,ADJ,nocturne,à [NOUN]  [ADJ] nocturne
4017,de,NOUN,généralement de,NOUN,,"de [NOUN] généralement de [NOUN] "
4018,,NOUN,de,NOUN,similaire avec," [NOUN] de [NOUN] similaire avec"
4019,,NOUN,de,NOUN,de type ramen," [NOUN] de [NOUN] de type ramen"
4020,à base de,NOUN,,ADJ,originaire de Nashville,à base de [NOUN]  [ADJ] originaire de Nashville
4021,nombreux,NOUN,de le,NOUN,,"nombreux [NOUN] de le [NOUN] "
4022,,NOUN,,ADJ,au piment de," [NOUN]  [ADJ] au piment de"
4023,sauce épicé au,NOUN,de,NOUN,,"sauce épicé au [NOUN] de [NOUN] "
4024,pimenter donne au,NOUN,,ADJ,,"pimenter donne au [NOUN]  [ADJ] "
4025,,NOUN,de,NOUN,blanc avec," [NOUN] de [NOUN] blanc avec"
4026,tranche de,NOUN,,ADJ,avec,tranche de [NOUN]  [ADJ] avec
4027,,NOUN,,ADJ,épicé," [NOUN]  [ADJ] épicé"
4028,,NOUN,de,NOUN,Prince' s Hot," [NOUN] de [NOUN] Prince' s Hot"
4029,,ADJ,,NOUN,au poulet," [ADJ]  [NOUN] au poulet"
4030,,NOUN,de le,NOUN,roumain," [NOUN] de le [NOUN] roumain"
4031,spécialité de,NOUN,de,PROPN,,"spécialité de [NOUN] de [PROPN] "
4032,dixième,NOUN,de ce,NOUN,,"dixième [NOUN] de ce [NOUN] "
4033,traditionnellement faire en,ADJ,,NOUN,,"traditionnellement faire en [ADJ]  [NOUN] "
4034,de crêpe de,ADJ,,NOUN,,"de crêpe de [ADJ]  [NOUN] "
4035,blini de petit,NOUN,,ADJ,,"blini de petit [NOUN]  [ADJ] "
4036,aussi servir à,NOUN,,ADJ,pour,aussi servir à [NOUN]  [ADJ] pour
4037,,NOUN,au,NOUN,qui se," [NOUN] au [NOUN] qui se"
4038,très commun en,PROPN,de le,NOUN,,"très commun en [PROPN] de le [NOUN] "
4039,,NOUN,,NOUN,aigre," [NOUN]  [NOUN] aigre"
4040,même de,NOUN,,ADJ,,"même de [NOUN]  [ADJ] "
4041,celui de,NOUN,de,NOUN,,"celui de [NOUN] de [NOUN] "
4042,avec parfois de,NOUN,,ADJ,,"avec parfois de [NOUN]  [ADJ] "
4043,de,NOUN,de,NOUN,de goût,de [NOUN] de [NOUN] de goût
4044,de point de,NOUN,de,NOUN,,"de point de [NOUN] de [NOUN] "
4045,être similaire à,NOUN,de,NOUN,tel,être similaire à [NOUN] de [NOUN] tel
4046,,NOUN,,NOUN,de alcool," [NOUN]  [NOUN] de alcool"
4047,infusion être de,NOUN,,ADJ,clair à orangée,infusion être de [NOUN]  [ADJ] clair à orangée
4048,infusion être de,NOUN,jaune,ADJ,à orangée,infusion être de [NOUN] jaune [ADJ] à orangée
4049,,NOUN,,ADJ,original," [NOUN]  [ADJ] original"
4050,plupart de,NOUN,dire,NOUN,de sous-continent indien,plupart de [NOUN] dire [NOUN] de sous-continent indien
4051,de mélange dire,NOUN,de sous-continent,ADJ,,"de mélange dire [NOUN] de sous-continent [ADJ] "
4052,,ADJ,,NOUN,dépice," [ADJ]  [NOUN] dépice"
4053,de,NOUN,préparer,NOUN,,"de [NOUN] préparer [NOUN] "
4054,,NOUN,de,NOUN,carné," [NOUN] de [NOUN] carné"
4055,,NOUN,,ADJ,de sauce à," [NOUN]  [ADJ] de sauce à"
4056,,NOUN,de,NOUN,avec lequel on," [NOUN] de [NOUN] avec lequel on"
4057,,NOUN,de,NOUN,de Mary Randolph," [NOUN] de [NOUN] de Mary Randolph"
4058,,NOUN,de curry au,NOUN,," [NOUN] de curry au [NOUN] "
4059,curry de nombreux,NOUN,,ADJ,,"curry de nombreux [NOUN]  [ADJ] "
4060,,NOUN,,NOUN,international," [NOUN]  [NOUN] international"
4061,sous-continent indien comme,ADJ,le,NOUN,historique,sous-continent indien comme [ADJ] le [NOUN] historique
4062,,NOUN,moderne de le,PROPN,," [NOUN] moderne de le [PROPN] "
4063,de,PROPN,Lanka de,PROPN,,"de [PROPN] Lanka de [PROPN] "
4064,en référence au,NOUN,de base,NOUN,sou forme de,en référence au [NOUN] de base [NOUN] sou forme de
4065,sou forme de,NOUN,sans,NOUN,,"sou forme de [NOUN] sans [NOUN] "
4066,émigrant de,NOUN,de,PROPN,au Bangladesh,émigrant de [NOUN] de [PROPN] au Bangladesh
4067,industrie de,NOUN,house en,PROPN,,"industrie de [NOUN] house en [PROPN] "
4068,,NOUN,cuisine indien de,NOUN,britannique," [NOUN] cuisine indien de [NOUN] britannique"
4069,curry être à,NOUN,de,NOUN,,"curry être à [NOUN] de [NOUN] "
4070,utilisation occasionnel de,NOUN,,ADJ,,"utilisation occasionnel de [NOUN]  [ADJ] "
4071,,NOUN,moins,ADJ,dans," [NOUN] moins [ADJ] dans"
4072,,ADJ,,NOUN,de exemple végétarien," [ADJ]  [NOUN] de exemple végétarien"
4073,,NOUN,à,NOUN,de babeurre," [NOUN] à [NOUN] de babeurre"
4074,souvent manger au,NOUN,de,NOUN,de hiver,souvent manger au [NOUN] de [NOUN] de hiver
4075,au cours de,NOUN,de,NOUN,,"au cours de [NOUN] de [NOUN] "
4076,,NOUN,de,NOUN,guerrier de," [NOUN] de [NOUN] guerrier de"
4077,de,NOUN,,ADJ,frais,de [NOUN]  [ADJ] frais
4078,,ADJ,,NOUN,sec comme," [ADJ]  [NOUN] sec comme"
4079,,NOUN,de,NOUN,populaire au Rajasthan," [NOUN] de [NOUN] populaire au Rajasthan"
4080,,NOUN,de,NOUN,y," [NOUN] de [NOUN] y"
4081,inclure souvent de,NOUN,de,NOUN,,"inclure souvent de [NOUN] de [NOUN] "
4082,utilisation de,NOUN,comme,NOUN,,"utilisation de [NOUN] comme [NOUN] "
4083,,NOUN,non,ADJ,," [NOUN] non [ADJ] "
4084,,NOUN,non raffiné,PROPN,," [NOUN] non raffiné [PROPN] "
4085,feuille de,NOUN,le,NOUN,,"feuille de [NOUN] le [NOUN] "
4086,,NOUN,le,NOUN,de pavot," [NOUN] le [NOUN] de pavot"
4087,gamme de,NOUN,non,ADJ,,"gamme de [NOUN] non [ADJ] "
4088,,NOUN,,NOUN,brillant dont," [NOUN]  [NOUN] brillant dont"
4089,sauce,NOUN,brillant dont le,NOUN,,"sauce [NOUN] brillant dont le [NOUN] "
4090,extrait dériver de,NOUN,,ADJ,de mawal,extrait dériver de [NOUN]  [ADJ] de mawal
4091,constituer de grand,NOUN,de,NOUN,de agneau,constituer de grand [NOUN] de [NOUN] de agneau
4092,grand boulette de,NOUN,de,NOUN,,"grand boulette de [NOUN] de [NOUN] "
4093,,NOUN,de le,NOUN,népalais," [NOUN] de le [NOUN] népalais"
4094,,NOUN,mouton,NOUN,," [NOUN] mouton [NOUN] "
4095,,NOUN,,NOUN,de pain," [NOUN]  [NOUN] de pain"
4096,,NOUN,de,PROPN,de Sud-Est," [NOUN] de [PROPN] de Sud-Est"
4097,,ADJ,,NOUN,de curry," [ADJ]  [NOUN] de curry"
4098,,PROPN,moan,NOUN,de poulet," [PROPN] moan [NOUN] de poulet"
4099,,NOUN,de poulet,PROPN,ayam," [NOUN] de poulet [PROPN] ayam"
4100,,NOUN,de,NOUN,de chèvre," [NOUN] de [NOUN] de chèvre"
4101,curry de,NOUN,de,NOUN,,"curry de [NOUN] de [NOUN] "
4102,grand variété de,NOUN,,NOUN,,"grand variété de [NOUN]  [NOUN] "
4103,de,NOUN,haricot,NOUN,de manioc,de [NOUN] haricot [NOUN] de manioc
4104,,NOUN,populaire dans le,NOUN,occidental de Sumatra," [NOUN] populaire dans le [NOUN] occidental de Sumatra"
4105,,NOUN,de,NOUN,de eau cuite," [NOUN] de [NOUN] de eau cuite"
4106,,NOUN,de buffle de,NOUN,cuite lentement dans," [NOUN] de buffle de [NOUN] cuite lentement dans"
4107,,ADJ,,NOUN,de heure pour," [ADJ]  [NOUN] de heure pour"
4108,,NOUN,de,NOUN,blanchâtre," [NOUN] de [NOUN] blanchâtre"
4109,Malaisie au,NOUN,de ancien,NOUN,commercial,Malaisie au [NOUN] de ancien [NOUN] commercial
4110,utiliser généralement de,NOUN,en,NOUN,riche en curcuma,utiliser généralement de [NOUN] en [NOUN] riche en curcuma
4111,de curry en,NOUN,riche en,NOUN,,"de curry en [NOUN] riche en [NOUN] "
4112,,NOUN,,ADJ,de curry," [NOUN]  [ADJ] de curry"
4113,,NOUN,indien garam,PROPN,," [NOUN] indien garam [PROPN] "
4114,cumin en,NOUN,,NOUN,,"cumin en [NOUN]  [NOUN] "
4115,,NOUN,au,NOUN,épais," [NOUN] au [NOUN] épais"
4116,pour dautre,NOUN,local,NOUN,,"pour dautre [NOUN] local [NOUN] "
4117,,NOUN,,ADJ,de Mindanao," [NOUN]  [ADJ] de Mindanao"
4118,région méridional de,PROPN,le,NOUN,de Sulu,région méridional de [PROPN] le [NOUN] de Sulu
4119,,NOUN,de,NOUN,de coco," [NOUN] de [NOUN] de coco"
4120,utilisation de,NOUN,,ADJ,,"utilisation de [NOUN]  [ADJ] "
4121,,NOUN,,ADJ,alors," [NOUN]  [ADJ] alors"
4122,plus semblable à,NOUN,,ADJ,,"plus semblable à [NOUN]  [ADJ] "
4123,utiliser également de,NOUN,en,NOUN,à,utiliser également de [NOUN] en [NOUN] à
4124,aliment de,NOUN,de,NOUN,,"aliment de [NOUN] de [NOUN] "
4125,actuel,NOUN,,ADJ,de,actuel [NOUN]  [ADJ] de
4126,actuel,NOUN,typique de le,NOUN,créole réunionnais,actuel [NOUN] typique de le [NOUN] créole réunionnais
4127,boucané être au,NOUN,,ADJ,,"boucané être au [NOUN]  [ADJ] "
4128,autre,NOUN,de,NOUN,de mascareigne de,autre [NOUN] de [NOUN] de mascareigne de
4129,gros morceau de,NOUN,de,NOUN,,"gros morceau de [NOUN] de [NOUN] "
4130,,NOUN,au,NOUN,jaune légèrement épicé," [NOUN] au [NOUN] jaune légèrement épicé"
4131,sauce au,NOUN,,ADJ,légèrement épicé,sauce au [NOUN]  [ADJ] légèrement épicé
4132,il exister de,ADJ,,NOUN,de curry chinois,il exister de [ADJ]  [NOUN] de curry chinois
4133,de porc au,NOUN,un autre,ADJ,très populaire au,de porc au [NOUN] un autre [ADJ] très populaire au
4134,autre,ADJ,très,ADJ,au Japon,autre [ADJ] très [ADJ] au Japon
4135,principalement consommer au,ADJ,,NOUN,avec,principalement consommer au [ADJ]  [NOUN] avec
4136,être ajouter à,NOUN,de,NOUN,,"être ajouter à [NOUN] de [NOUN] "
4137,à lexception de,NOUN,,ADJ,à feuille sombre,à lexception de [NOUN]  [ADJ] à feuille sombre
4138,à lexception de,NOUN,vert à,NOUN,sombre,à lexception de [NOUN] vert à [NOUN] sombre
4139,,NOUN,croissant pour le,NOUN,indien authentique," [NOUN] croissant pour le [NOUN] indien authentique"
4140,local importée de,PROPN,,ADJ,,"local importée de [PROPN]  [ADJ] "
4141,avec de,NOUN,au,NOUN,vert,avec de [NOUN] au [NOUN] vert
4142,aromatiser avec de,NOUN,en,NOUN,,"aromatiser avec de [NOUN] en [NOUN] "
4143,premier recette de,NOUN,en,PROPN,,"premier recette de [NOUN] en [PROPN] "
4144,premier,NOUN,de son,NOUN,,"premier [NOUN] de son [NOUN] "
4145,,NOUN,de,NOUN,piquant ne," [NOUN] de [NOUN] piquant ne"
4146,utilisation de,NOUN,,ADJ,ne,utilisation de [NOUN]  [ADJ] ne
4147,utilisation limité de,NOUN,en,PROPN,,"utilisation limité de [NOUN] en [PROPN] "
4148,,NOUN,de,NOUN,de xixesiècle," [NOUN] de [NOUN] de xixesiècle"
4149,en Grande-Bretagne en,NOUN,de grand,NOUN,de fonctionnaire britannique,en Grande-Bretagne en [NOUN] de grand [NOUN] de fonctionnaire britannique
4150,en raison de,ADJ,,NOUN,de fonctionnaire britannique,en raison de [ADJ]  [NOUN] de fonctionnaire britannique
4151,militaire associer au,PROPN,,ADJ,,"militaire associer au [PROPN]  [ADJ] "
4152,en Grande-Bretagne en,NOUN,de grand,NOUN,de immigrant en,en Grande-Bretagne en [NOUN] de grand [NOUN] de immigrant en
4153,en raison de,ADJ,,NOUN,de immigrant en,en raison de [ADJ]  [NOUN] de immigrant en
4154,souvent utiliser comme,NOUN,de,NOUN,,"souvent utiliser comme [NOUN] de [NOUN] "
4155,,NOUN,de le,NOUN,Élisabeth II en," [NOUN] de le [NOUN] Élisabeth II en"
4156,,NOUN,,PROPN,II en 1953," [NOUN]  [PROPN] II en 1953"
4157,,NOUN,un,NOUN,anglo-indien," [NOUN] un [NOUN] anglo-indien"
4158,voir,NOUN,,ADJ,,"voir [NOUN]  [ADJ] "
4159,au,NOUN,de,NOUN,qui,au [NOUN] de [NOUN] qui
4160,,NOUN,à le,NOUN,en brique ne," [NOUN] à le [NOUN] en brique ne"
4161,de,NOUN,souvent,ADJ,,"de [NOUN] souvent [ADJ] "
4162,,NOUN,,ADJ,à amande," [NOUN]  [ADJ] à amande"
4163,,NOUN,,ADJ,saler chez François," [NOUN]  [ADJ] saler chez François"
4164,,NOUN,de le,NOUN,espagnol," [NOUN] de le [NOUN] espagnol"
4165,,NOUN,,ADJ,de volaille," [NOUN]  [ADJ] de volaille"
4166,potage,ADJ,de,NOUN,,"potage [ADJ] de [NOUN] "
4167,de carder en,NOUN,sans,NOUN,,"de carder en [NOUN] sans [NOUN] "
4168,soupe mixer à,NOUN,,ADJ,,"soupe mixer à [NOUN]  [ADJ] "
4169,sans,ADJ,,NOUN,,"sans [ADJ]  [NOUN] "
4170,Waldviertler Rahmsuppe à,NOUN,de,NOUN,,"Waldviertler Rahmsuppe à [NOUN] de [NOUN] "
4171,de cube de,NOUN,de,NOUN,,"de cube de [NOUN] de [NOUN] "
4172,lequel être de,NOUN,ordinaire de,NOUN,,"lequel être de [NOUN] ordinaire de [NOUN] "
4173,1,NOUN,de crème par,NOUN,de potage,1 [NOUN] de crème par [NOUN] de potage
4174,mise à,NOUN,,ADJ,se,mise à [NOUN]  [ADJ] se
4175,par de,NOUN,de le,NOUN,,"par de [NOUN] de le [NOUN] "
4176,non lier simple,NOUN,de,NOUN,,"non lier simple [NOUN] de [NOUN] "
4177,,ADJ,,NOUN,le," [ADJ]  [NOUN] le"
4178,essentiellement composer de,NOUN,,ADJ,de mil,essentiellement composer de [NOUN]  [ADJ] de mil
4179,,NOUN,,ADJ,au jus," [NOUN]  [ADJ] au jus"
4180,sorte de,NOUN,frais,NOUN,,"sorte de [NOUN] frais [NOUN] "
4181,,NOUN,de,NOUN,de vache," [NOUN] de [NOUN] de vache"
4182,crème de,NOUN,de,NOUN,,"crème de [NOUN] de [NOUN] "
4183,,NOUN,,ADJ,cornish clotted cream," [NOUN]  [ADJ] cornish clotted cream"
4184,variété de,NOUN,,ADJ,vert,variété de [NOUN]  [ADJ] vert
4185,par torréfaction à,NOUN,,ADJ,,"par torréfaction à [NOUN]  [ADJ] "
4186,enfin concasser en,ADJ,,NOUN,qui,enfin concasser en [ADJ]  [NOUN] qui
4187,,NOUN,de,NOUN,de moyen-orient," [NOUN] de [NOUN] de moyen-orient"
4188,comparable à autre,NOUN,de,NOUN,dur,comparable à autre [NOUN] de [NOUN] dur
4189,autre céréale de,NOUN,,ADJ,,"autre céréale de [NOUN]  [ADJ] "
4190,,NOUN,pour le plus,ADJ,," [NOUN] pour le plus [ADJ] "
4191,,NOUN,de trois,NOUN,de papier journal," [NOUN] de trois [NOUN] de papier journal"
4192,épaisseur de trois,NOUN,de,NOUN,journal environ,épaisseur de trois [NOUN] de [NOUN] journal environ
4193,trois feuille de,NOUN,,ADJ,environ,trois feuille de [NOUN]  [ADJ] environ
4194,être plier en,NOUN,de,NOUN,,"être plier en [NOUN] de [NOUN] "
4195,être similaire au,NOUN,,ADJ,,"être similaire au [NOUN]  [ADJ] "
4196,pommade avec de,NOUN,de,NOUN,,"pommade avec de [NOUN] de [NOUN] "
4197,fromage de,NOUN,de,NOUN,,"fromage de [NOUN] de [NOUN] "
4198,taux de,NOUN,,ADJ,de 45,taux de [NOUN]  [ADJ] de 45
4199,couleur aller de,NOUN,au,NOUN,clair,couleur aller de [NOUN] au [NOUN] clair
4200,de blanc au,NOUN,,ADJ,,"de blanc au [NOUN]  [ADJ] "
4201,petit,NOUN,trou,NOUN,,"petit [NOUN] trou [NOUN] "
4202,,NOUN,de,PROPN,où se," [NOUN] de [PROPN] où se"
4203,,PROPN,panruss de,NOUN,," [PROPN] panruss de [NOUN] "
4204,normaliser au,NOUN,de,NOUN,de,normaliser au [NOUN] de [NOUN] de
4205,deuxième,NOUN,à bas,NOUN,,"deuxième [NOUN] à bas [NOUN] "
4206,,NOUN,de le,NOUN,algérois," [NOUN] de le [NOUN] algérois"
4207,de,NOUN,,ADJ,parfumer à,de [NOUN]  [ADJ] parfumer à
4208,de,NOUN,blanc,ADJ,à,de [NOUN] blanc [ADJ] à
4209,lors de,NOUN,familial,NOUN,,"lors de [NOUN] familial [NOUN] "
4210,se rapprocher de,NOUN,comme le,NOUN,frite,se rapprocher de [NOUN] comme le [NOUN] frite
4211,,NOUN,Sui en,PROPN,," [NOUN] Sui en [PROPN] "
4212,origine de,NOUN,,ADJ,chinois,origine de [NOUN]  [ADJ] chinois
4213,origine de,NOUN,frit,ADJ,,"origine de [NOUN] frit [ADJ] "
4214,de,ADJ,,NOUN,populaire de riz,de [ADJ]  [NOUN] populaire de riz
4215,de nombreux,NOUN,,ADJ,de riz frit,de nombreux [NOUN]  [ADJ] de riz frit
4216,en,ADJ,,PROPN,,"en [ADJ]  [PROPN] "
4217,,NOUN,,ADJ,de Yangzhou," [NOUN]  [ADJ] de Yangzhou"
4218,,NOUN,,ADJ,Hokkien," [NOUN]  [ADJ] Hokkien"
4219,,ADJ,,NOUN,de riz frit," [ADJ]  [NOUN] de riz frit"
4220,propre recette de,NOUN,,ADJ,,"propre recette de [NOUN]  [ADJ] "
4221,,NOUN,,ADJ,à œuf," [NOUN]  [ADJ] à œuf"
4222,figurer également au,NOUN,de,NOUN,américain sans lien,figurer également au [NOUN] de [NOUN] américain sans lien
4223,au menu de,NOUN,,ADJ,sans lien avec,au menu de [NOUN]  [ADJ] sans lien avec
4224,,NOUN,dorigine de,NOUN,," [NOUN] dorigine de [NOUN] "
4225,,NOUN,de,NOUN,asiatique," [NOUN] de [NOUN] asiatique"
4226,ambulant aller de,NOUN,en,NOUN,avec,ambulant aller de [NOUN] en [NOUN] avec
4227,de préférence de,NOUN,de,NOUN,de,de préférence de [NOUN] de [NOUN] de
4228,,NOUN,viande,NOUN,," [NOUN] viande [NOUN] "
4229,,NOUN,de cuisson,NOUN,végétal," [NOUN] de cuisson [NOUN] végétal"
4230,sauce au,NOUN,de,PROPN,,"sauce au [NOUN] de [PROPN] "
4231,,NOUN,cru,NOUN,allemand," [NOUN] cru [NOUN] allemand"
4232,à partir de,NOUN,,ADJ,de porc à,à partir de [NOUN]  [ADJ] de porc à
4233,à partir de,NOUN,maigre de,NOUN,à lequel,à partir de [NOUN] maigre de [NOUN] à lequel
4234,signifier cerveau en,NOUN,,ADJ,,"signifier cerveau en [NOUN]  [ADJ] "
4235,un de trois,ADJ,,NOUN,de cuisine japonais,un de trois [ADJ]  [NOUN] de cuisine japonais
4236,de trois grand,NOUN,de,NOUN,japonais,de trois grand [NOUN] de [NOUN] japonais
4237,,ADJ,,NOUN,mondial," [ADJ]  [NOUN] mondial"
4238,,NOUN,de,PROPN,Yoshimitsu," [NOUN] de [PROPN] Yoshimitsu"
4239,Kudo échanger entrer,NOUN,dans le,NOUN,traditionnel japonais,Kudo échanger entrer [NOUN] dans le [NOUN] traditionnel japonais
4240,,NOUN,,ADJ,typique dans," [NOUN]  [ADJ] typique dans"
4241,,NOUN,en,NOUN,de boîte dont," [NOUN] en [NOUN] de boîte dont"
4242,,NOUN,,NOUN,de riz," [NOUN]  [NOUN] de riz"
4243,catégorie de,NOUN,sucrer dans le,NOUN,coréen,catégorie de [NOUN] sucrer dans le [NOUN] coréen
4244,,NOUN,sucrer comme le,NOUN,," [NOUN] sucrer comme le [NOUN] "
4245,,NOUN,comme le,ADJ,," [NOUN] comme le [ADJ] "
4246,,NOUN,,ADJ,de tentacule de," [NOUN]  [ADJ] de tentacule de"
4247,,NOUN,de,NOUN,en sauce," [NOUN] de [NOUN] en sauce"
4248,,NOUN,de viande en,NOUN,," [NOUN] de viande en [NOUN] "
4249,,NOUN,indo-malais,ADJ,," [NOUN] indo-malais [ADJ] "
4250,,NOUN,de,NOUN,à lequel on," [NOUN] de [NOUN] à lequel on"
4251,sucrer à,NOUN,de,NOUN,,"sucrer à [NOUN] de [NOUN] "
