id,prefixe,type_entite1,infixe,type_entite2,suffixe,expression_complete
137,,NOUN,dunkerquois,NOUN,de terre," [NOUN] dunkerquois [NOUN] de terre"
138,,NOUN,,ADJ,pour celer," [NOUN]  [ADJ] pour celer"
139,,NOUN,très,ADJ,," [NOUN] très [ADJ] "
140,,NOUN,sur,NOUN,," [NOUN] sur [NOUN] "
141,après cuisson en,ADJ,,NOUN,,"après cuisson en [ADJ]  [NOUN] "
142,,ADJ,,NOUN,de viande," [ADJ]  [NOUN] de viande"
143,mene bouillir en,NOUN,,ADJ,,"mene bouillir en [NOUN]  [ADJ] "
144,,NOUN,,ADJ,par raison," [NOUN]  [ADJ] par raison"
145,metté en ung,NOUN,sur le,NOUN,de charbon,metté en ung [NOUN] sur le [NOUN] de charbon
146,,NOUN,candji en,ADJ,," [NOUN] candji en [ADJ] "
147,,NOUN,de riz avec,NOUN,largement," [NOUN] de riz avec [NOUN] largement"
148,,PROPN,de,NOUN,où," [PROPN] de [NOUN] où"
149,,NOUN,,ADJ,de sud de," [NOUN]  [ADJ] de sud de"
150,,NOUN,,ADJ,pour," [NOUN]  [ADJ] pour"
151,emploi en,ADJ,sou le,NOUN,candji par,emploi en [ADJ] sou le [NOUN] candji par
152,,NOUN,le,NOUN,," [NOUN] le [NOUN] "
153,arroz,NOUN,arroz,NOUN,,"arroz [NOUN] arroz [NOUN] "
154,,PROPN,Reis,PROPN,," [PROPN] Reis [PROPN] "
155,soupe de,NOUN,,ADJ,,"soupe de [NOUN]  [ADJ] "
156,nom de,NOUN,de,NOUN,africain,nom de [NOUN] de [NOUN] africain
157,racine,ADJ,parfois,ADJ,avec,racine [ADJ] parfois [ADJ] avec
158,pouvoir aller de,NOUN,à très,ADJ,,"pouvoir aller de [NOUN] à très [ADJ] "
159,,NOUN,anglais,ADJ,de a. Elwall," [NOUN] anglais [ADJ] de a. Elwall"
160,traduire congee par,NOUN,de,NOUN,sans,traduire congee par [NOUN] de [NOUN] sans
161,en,PROPN,de le,NOUN,,"en [PROPN] de le [NOUN] "
162,se manger au,ADJ,,NOUN,,"se manger au [ADJ]  [NOUN] "
163,,NOUN,,ADJ,non," [NOUN]  [ADJ] non"
164,se,NOUN,,ADJ,,"se [NOUN]  [ADJ] "
165,par analyse de,NOUN,,ADJ,,"par analyse de [NOUN]  [ADJ] "
166,à celui de,NOUN,,ADJ,,"à celui de [NOUN]  [ADJ] "
167,,NOUN,de,NOUN,bantou," [NOUN] de [NOUN] bantou"
168,,ADJ,,NOUN,pour," [ADJ]  [NOUN] pour"
169,forme avec,NOUN,,ADJ,,"forme avec [NOUN]  [ADJ] "
170,de,ADJ,,NOUN,lusophone,de [ADJ]  [NOUN] lusophone
171,,NOUN,,ADJ,de poulet avec," [NOUN]  [ADJ] de poulet avec"
172,,NOUN,liquide de,NOUN,avec de riz," [NOUN] liquide de [NOUN] avec de riz"
173,donne comme,NOUN,de,NOUN,canja,donne comme [NOUN] de [NOUN] canja
174,,NOUN,,ADJ,de hôpital militaire," [NOUN]  [ADJ] de hôpital militaire"
175,régime alimentaire de,NOUN,,ADJ,brésilien,régime alimentaire de [NOUN]  [ADJ] brésilien
176,recette de,NOUN,de,NOUN,pour,recette de [NOUN] de [NOUN] pour
177,arroz caldo de,NOUN,,ADJ,,"arroz caldo de [NOUN]  [ADJ] "
178,,NOUN,de le,NOUN,se," [NOUN] de le [NOUN] se"
179,,NOUN,de,NOUN,sucrer," [NOUN] de [NOUN] sucrer"
180,donner pour de,NOUN,,ADJ,,"donner pour de [NOUN]  [ADJ] "
181,être de 40,NOUN,à 2,NOUN,,"être de 40 [NOUN] à 2 [NOUN] "
182,,NOUN,de,NOUN,complet," [NOUN] de [NOUN] complet"
183,gruau de,NOUN,,ADJ,,"gruau de [NOUN]  [ADJ] "
184,on,NOUN,le,NOUN,de congee en,on [NOUN] le [NOUN] de congee en
185,5,NOUN,de,NOUN,pour 1 de,5 [NOUN] de [NOUN] pour 1 de
186,dosage de 12,NOUN,de,NOUN,pour 1 de,dosage de 12 [NOUN] de [NOUN] pour 1 de
187,,NOUN,,ADJ,minimum 1 heure," [NOUN]  [ADJ] minimum 1 heure"
188,Trois,NOUN,le,NOUN,rouge,Trois [NOUN] le [NOUN] rouge
189,,NOUN,noir,NOUN,urd," [NOUN] noir [NOUN] urd"
190,Quatre,NOUN,le,NOUN,,"Quatre [NOUN] le [NOUN] "
191,de aliment disponible,NOUN,,NOUN,,"de aliment disponible [NOUN]  [NOUN] "
192,apprécier notamment en,NOUN,de,NOUN,,"apprécier notamment en [NOUN] de [NOUN] "
193,,NOUN,bouilli au,NOUN,," [NOUN] bouilli au [NOUN] "
194,,NOUN,central de,NOUN,de Pongal," [NOUN] central de [NOUN] de Pongal"
195,préparation central de,NOUN,de,PROPN,,"préparation central de [NOUN] de [PROPN] "
196,,NOUN,de,NOUN,indonésien," [NOUN] de [NOUN] indonésien"
197,région de,PROPN,en,PROPN,,"région de [PROPN] en [PROPN] "
198,,NOUN,au,NOUN,rouge étuvé," [NOUN] au [NOUN] rouge étuvé"
199,congee au,NOUN,,ADJ,étuvé,congee au [NOUN]  [ADJ] étuvé
200,congee au,NOUN,rouge,NOUN,,"congee au [NOUN] rouge [NOUN] "
201,ayurvédique administrer à,NOUN,,ADJ,,"ayurvédique administrer à [NOUN]  [ADJ] "
202,,NOUN,de,NOUN,de riz," [NOUN] de [NOUN] de riz"
203,bain de,NOUN,de,NOUN,,"bain de [NOUN] de [NOUN] "
204,ouvrage médical de,NOUN,,ADJ,,"ouvrage médical de [NOUN]  [ADJ] "
205,,ADJ,,NOUN,de eau," [ADJ]  [NOUN] de eau"
206,,ADJ,de,NOUN,vert," [ADJ] de [NOUN] vert"
207,parfumer de,NOUN,,ADJ,,"parfumer de [NOUN]  [ADJ] "
208,,NOUN,de,NOUN,de riz à," [NOUN] de [NOUN] de riz à"
209,dans 6,NOUN,de,NOUN,de volaille,dans 6 [NOUN] de [NOUN] de volaille
210,lier à,NOUN,de,NOUN,,"lier à [NOUN] de [NOUN] "
211,riz prendre au,ADJ,,NOUN,,"riz prendre au [ADJ]  [NOUN] "
212,,NOUN,,ADJ,sur," [NOUN]  [ADJ] sur"
213,postprandial comparer à,ADJ,,NOUN,de cuisson de,postprandial comparer à [ADJ]  [NOUN] de cuisson de
214,,NOUN,plus,ADJ,de avc sur," [NOUN] plus [ADJ] de avc sur"
215,,NOUN,passager de,NOUN,de créatinine après," [NOUN] passager de [NOUN] de créatinine après"
216,mouiller assaisonnée de,NOUN,de,NOUN,,"mouiller assaisonnée de [NOUN] de [NOUN] "
217,version médicaliser à,NOUN,,ADJ,,"version médicaliser à [NOUN]  [ADJ] "
218,à partir de,NOUN,de,NOUN,,"à partir de [NOUN] de [NOUN] "
219,,PROPN,,PROPN,au cours de," [PROPN]  [PROPN] au cours de"
220,,NOUN,,ADJ,iranien de béluga," [NOUN]  [ADJ] iranien de béluga"
221,,NOUN,blanc iranien de,NOUN,albinos almas," [NOUN] blanc iranien de [NOUN] albinos almas"
222,mot apparaître en,ADJ,sou le,NOUN,cavyair en 1432,mot apparaître en [ADJ] sou le [NOUN] cavyair en 1432
223,,NOUN,au,ADJ,," [NOUN] au [ADJ] "
224,,NOUN,,ADJ,caviar," [NOUN]  [ADJ] caviar"
225,,NOUN,de le,NOUN,caviar," [NOUN] de le [NOUN] caviar"
226,,NOUN,en,PROPN,mineur en 1431," [NOUN] en [PROPN] mineur en 1431"
227,plus ancien,NOUN,,ADJ,de,plus ancien [NOUN]  [ADJ] de
228,plus ancien,NOUN,animal de le,NOUN,évolutif de vivant,plus ancien [NOUN] animal de le [NOUN] évolutif de vivant
229,plus gros de,NOUN,de,NOUN,doux,plus gros de [NOUN] de [NOUN] doux
230,,NOUN,,PROPN,Noire," [NOUN]  [PROPN] Noire"
231,,PROPN,,PROPN,," [PROPN]  [PROPN] "
232,,NOUN,,ADJ,de caviar," [NOUN]  [ADJ] de caviar"
233,mollusque invasif en,NOUN,,PROPN,,"mollusque invasif en [NOUN]  [PROPN] "
234,braconnage de,NOUN,en,PROPN,Caspienne,braconnage de [NOUN] en [PROPN] Caspienne
235,,NOUN,,ADJ,de tout," [NOUN]  [ADJ] de tout"
236,,NOUN,sur le,NOUN,international de espèce," [NOUN] sur le [NOUN] international de espèce"
237,,NOUN,,ADJ,de espèce de," [NOUN]  [ADJ] de espèce de"
238,commerce international de,NOUN,de,NOUN,,"commerce international de [NOUN] de [NOUN] "
239,,NOUN,de,NOUN,de pays de," [NOUN] de [NOUN] de pays de"
240,,NOUN,de pêche de,NOUN,de pourtour de," [NOUN] de pêche de [NOUN] de pourtour de"
241,de pourtour de,NOUN,,PROPN,,"de pourtour de [NOUN]  [PROPN] "
